상품코드,상품명,카테고리코드,가격,재고수량,등록일자,최종수정일,판매여부,할인율,제조사,무게,상품설명
P001,노트북 15인치,ELEC,1200000,50,2023-01-10,2024-11-30,Y,10,삼성전자,1.5,
P002,무선 마우스,ELEC,35000,200,2023-02-15,2024-10-20,Y,5,로지텍,0.1,고성능 무선 마우스
P003,키보드,elec,89000,150,2023-03-20,2024-09-15,Y,0,,,기계식 키보드
P004,모니터 27인치,ELEC,450000,-10,2023-04-25,2024-12-01,Y,15,LG전자,5.2,4K 해상도
P005,스마트폰,ELEC,1100000,80,2023-05-30,2024-11-25,y,8,애플,0.2,아이폰 최신 모델
P006,태블릿,ELEC,650000,45,2023-06-15,,N,12,삼성전자,0.45,갤럭시 탭
P007,무선 이어폰,ELEC,180000,300,2023-07-20,2024-10-30,Y,200,소니,0.05,노이즈 캔슬링
P008,노트북 가방,BAG,55000,120,2023-08-05,2024-12-02,Y,0,,,방수 기능
P009,USB 메모리,ELEC,25000,500,2023-09-10,2024-11-20,Y,-5,샌디스크,0.01,128GB
P010,외장 하드,ELEC,120000,90,2023-10-01,2024-09-25,Y,10,WD,0.3,2TB 용량
P011,스마트워치,ELEC,350000,,2023-11-12,2024-12-03,Y,15,애플,0.04,
P012,블루투스 스피커,ELEC,95000,180,2023-12-20,2024-11-28,Y,8,JBL,0.6,방수 스피커
P013,웹캠,ELEC,85000,70,2024-01-15,2024-10-15,Y,0,로지텍,0.15,1080p 화질
P014,마이크,ELEC,120000,55,2024-02-28,2024-09-20,Y,12,블루,0.25,USB 마이크
P015,충전기,ELEC,45000,250,2024-03-10,2024-12-04,Y,5,안커,0.2,
P016,케이블,ELEC,15000,1000,2024-04-05,2024-11-30,Y,0,벨킨,0.05,USB-C 케이블
P017,마우스패드,OFF,12000,400,2024-05-20,2024-10-25,Y,10,,,대형 사이즈
P018,노트,OFF,3000,600,2024-06-15,,Y,0,모나미,0.15,A4 크기
P019,볼펜,OFF,1500,2000,2024-07-01,2024-11-15,Y,0,모나미,0.01,
P020,지우개,OFF,500,3000,2024-08-10,2024-09-30,Y,0,,,
P021,연필,OFF,800,1500,2024-09-01,2024-12-05,Y,0,,,HB 연필
P022,가위,OFF,5000,350,2024-10-15,2024-11-25,Y,5,,,
P023,풀,OFF,2000,450,2024-11-01,2024-12-01,Y,0,,,액체풀
P024,테이프,OFF,3500,500,2024-11-10,2024-11-28,Y,0,,,투명 테이프
P025,클립,OFF,4000,280,2024-11-20,2024-12-02,Y,0,,,대형 클립
P026,스테이플러,OFF,8000,190,2024-12-01,2030-01-01,Y,10,,,
P027,계산기,ELEC,25000,140,2020-01-15,2020-06-20,Y,15,카시오,0.15,과학용 계산기
P028,프린터,ELEC,280000,35,2024-12-02,2024-12-06,Y,20,HP,8.5,레이저 프린터
P029,스캐너,ELEC,180000,25,2024-12-03,2024-12-05,Y,18,캐논,2.3,고속 스캐너
P030,책상,FURN,350000,20,2024-12-04,2024-12-06,Y,25,일룸,25.0,높이조절 책상
P030,책상,FURN,350000,20,2024-12-04,2024-12-06,Y,25,일룸,25.0,높이조절 책상
